ID,output_mean,w1_mean,w2_mean,w3_mean,w4_mean,w5_mean,w6_mean,w7_mean,w8_mean
0,-0.0042638834565877914,-0.0009885990293696523,-0.002313505159690976,0.00029770933906547725,-8.662584150442854e-05,0.0007812315016053617,-0.0004615051730070263,0.0013855431461706758,0.0015647729160264134
1,-0.00427035428583622,-0.0009176770108751953,-0.00230904552154243,0.00029998100944794714,-8.872392936609685e-05,0.0007856225129216909,-0.0004619644896592945,0.0013842217158526182,0.0015633967705070972
2,-0.004265995696187019,-0.0008778964402154088,-0.0023031991440802813,0.0002998663403559476,-9.031769150169566e-05,0.00078817323083058,-0.0004616414662450552,0.0013838628074154258,0.001560515956953168
3,-0.004275619983673096,-0.0008331083226948977,-0.002299120184034109,0.0002997461997438222,-8.990193600766361e-05,0.0007902104989625514,-0.0004630633629858494,0.001383757684379816,0.0015608923276886344
4,-0.00428621843457222,-0.0007947146659716964,-0.0022961015347391367,0.0002992867084685713,-8.983358566183597e-05,0.0007919050403870642,-0.00046460021985694766,0.001383294234983623,0.0015628746477887034
5,-0.0042947642505168915,-0.0007670818013139069,-0.002293862635269761,0.0002994947717525065,-8.976113895187154e-05,0.0007930225692689419,-0.00046618739725090563,0.0013830728130415082,0.0015654779272153974
6,-0.004302979446947575,-0.0007549620931968093,-0.0022923960350453854,0.0003001532459165901,-8.916031947592273e-05,0.0007934557506814599,-0.0004677324031945318,0.001383118680678308,0.001568219973705709
7,-0.004313681274652481,-0.0007446575909852982,-0.0022906954400241375,0.0003008378262165934,-8.784425881458446e-05,0.0007951412117108703,-0.0004690714704338461,0.0013831976102665067,0.001571873901411891
8,-0.004326201975345612,-0.0007166674477048218,-0.0022890132386237383,0.00030128186335787177,-8.716941374586895e-05,0.000797242799308151,-0.00047043702215887606,0.0013829460367560387,0.0015759434318169951
9,-0.0043355608358979225,-0.0006908189970999956,-0.0022864784114062786,0.000300691433949396,-8.739829354453832e-05,0.0007993671461008489,-0.00047113222535699606,0.001382729853503406,0.001578540075570345
10,-0.004345815163105726,-0.000658845470752567,-0.002284054411575198,0.00030020566191524267,-8.768111001700163e-05,0.0008022371330298483,-0.00047110396553762257,0.00138246885035187,0.0015809176256880164
11,-0.004354746546596289,-0.0006350402254611254,-0.0022817011922597885,0.0002996768453158438,-8.743997750570998e-05,0.0008051813347265124,-0.0004706946783699095,0.0013821483589708805,0.0015825086738914251
12,-0.004361368250101805,-0.0006135693984106183,-0.0022801063023507595,0.00029947617440484464,-8.813568274490535e-05,0.0008072084747254848,-0.00047024464583955705,0.0013817398576065898,0.001584230805747211
13,-0.004367078188806772,-0.000599712657276541,-0.002279958687722683,0.0002993361558765173,-8.881851681508124e-05,0.0008083481225185096,-0.00046985491644591093,0.0013814743142575026,0.0015877151163294911
14,-0.004372676368802786,-0.0005890337051823735,-0.0022800753358751535,0.0002985113824252039,-8.96259443834424e-05,0.000808166223578155,-0.00046963433851487935,0.0013813235564157367,0.001593329361639917
15,-0.0043775481171905994,-0.0005754708545282483,-0.0022801626473665237,0.00029746320797130466,-9.044894977705553e-05,0.0008077533566392958,-0.00046946643851697445,0.001381173962727189,0.0015975364949554205
16,-0.004380980506539345,-0.000555379141587764,-0.0022800976876169443,0.00029626049217768013,-9.141759801423177e-05,0.0008069798932410777,-0.00046953620039857924,0.0013810432283207774,0.0016004417557269335
17,-0.004384074360132217,-0.0005339339259080589,-0.0022794404067099094,0.00029522867407649755,-9.236940968548879e-05,0.0008061248809099197,-0.00046949530951678753,0.00138094462454319,0.0016015819273889065
18,-0.004386561922729015,-0.0005065109580755234,-0.0022792976815253496,0.00029392653959803283,-9.320118988398463e-05,0.0008056256338022649,-0.0004695784009527415,0.0013809431111440063,0.001601679716259241
19,-0.004387561697512865,-0.0004816037544514984,-0.002278592437505722,0.00029260406154207885,-9.438950655749068e-05,0.0008051636978052557,-0.0004696850082837045,0.0013809239026159048,0.0016010639956220984
